Entity ID,Entity Name,Plant ID,Plant Name,Sector,Plant State,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Retirement Month,Retirement Year,County,Latitude,Longitude,Google Map,Bing Map,Balancing Authority Code
30151,"Tri-State G & T Assn, Inc",87,Escalante,Electric Utility,NM,1,,257.0,253.0,253.0,Conventional Steam Coal,SUB,ST,12,1984,11,2020,McKinley,35.415900,-108.082000,Map,Map,WACM
1752,Biola University,54296,Biola University Hybrid,Commercial CHP,CA,EG1,,0.6,0.6,0.6,Natural Gas Internal Combustion Engine,NG,IC,4,1990,11,2020,Los Angeles,33.906953,-118.013100,Map,Map,CISO
1752,Biola University,54296,Biola University Hybrid,Commercial CHP,CA,EG2,,0.6,0.6,0.6,Natural Gas Internal Combustion Engine,NG,IC,4,1990,11,2020,Los Angeles,33.906953,-118.013100,Map,Map,CISO
189,PowerSouth Energy Cooperative,56,Lowman Energy Center,Electric Utility,AL,1,,66.0,78.0,78.0,Conventional Steam Coal,BIT,ST,6,1969,10,2020,Washington,31.488019,-87.910750,Map,Map,AEC
189,PowerSouth Energy Cooperative,56,Lowman Energy Center,Electric Utility,AL,2,,236.0,238.0,238.0,Conventional Steam Coal,BIT,ST,6,1978,10,2020,Washington,31.488019,-87.910750,Map,Map,AEC
189,PowerSouth Energy Cooperative,56,Lowman Energy Center,Electric Utility,AL,3,,236.0,238.0,238.0,Conventional Steam Coal,BIT,ST,6,1980,10,2020,Washington,31.488019,-87.910750,Map,Map,AEC
6455,"Duke Energy Florida, LLC",624,Avon Park,Electric Utility,FL,P1,,33.7,24.0,25.0,Natural Gas Fired Combustion Turbine,NG,GT,12,1968,10,2020,Highlands,27.579444,-81.492780,Map,Map,FPC
6455,"Duke Energy Florida, LLC",624,Avon Park,Electric Utility,FL,P2,,33.7,24.0,25.0,Petroleum Liquids,DFO,GT,12,1968,10,2020,Highlands,27.579444,-81.492780,Map,Map,FPC
15248,Portland General Electric Co,6106,Boardman,Electric Utility,OR,1,,642.2,585.0,585.0,Conventional Steam Coal,SUB,ST,8,1980,10,2020,Morrow,45.693182,-119.808800,Map,Map,PGE
15474,Public Service Co of Oklahoma,127,Oklaunion,Electric Utility,TX,1,,720.0,650.0,650.0,Conventional Steam Coal,SUB,ST,12,1986,9,2020,Wilbarger,34.082500,-99.175300,Map,Map,SWPP
61130,"Helix Ravenswood, LLC",2500,Ravenswood,IPP Non-CHP,NY,GT4,,21.1,12.9,15.6,Natural Gas Fired Combustion Turbine,NG,GT,6,1969,9,2020,Queens,40.759167,-73.946110,Map,Map,NYIS
61130,"Helix Ravenswood, LLC",2500,Ravenswood,IPP Non-CHP,NY,GT5,,21.1,15.5,17.2,Natural Gas Fired Combustion Turbine,NG,GT,6,1969,9,2020,Queens,40.759167,-73.946110,Map,Map,NYIS
61130,"Helix Ravenswood, LLC",2500,Ravenswood,IPP Non-CHP,NY,GT6,,22.0,12.6,16.5,Natural Gas Fired Combustion Turbine,NG,GT,6,1969,9,2020,Queens,40.759167,-73.946110,Map,Map,NYIS
61130,"Helix Ravenswood, LLC",2500,Ravenswood,IPP Non-CHP,NY,GT9,,25.0,16.3,22.8,Natural Gas Fired Combustion Turbine,NG,GT,6,1969,9,2020,Queens,40.759167,-73.946110,Map,Map,NYIS
55269,NextEra Energy Duane Arnold LLC,1060,Duane Arnold Energy Center,IPP Non-CHP,IA,1,,679.5,601.4,622.1,Nuclear,NUC,ST,2,1975,8,2020,Linn,42.101100,-91.778100,Map,Map,MISO
12653,"Lanyard Power Holdings, LLC",1572,Dickerson,IPP Non-CHP,MD,2,,196.0,173.0,173.0,Conventional Steam Coal,BIT,ST,4,1960,8,2020,Montgomery,39.209700,-77.464400,Map,Map,PJM
12653,"Lanyard Power Holdings, LLC",1572,Dickerson,IPP Non-CHP,MD,3,,196.0,173.0,173.0,Conventional Steam Coal,BIT,ST,3,1962,8,2020,Montgomery,39.209700,-77.464400,Map,Map,PJM
12653,"Lanyard Power Holdings, LLC",1572,Dickerson,IPP Non-CHP,MD,ST1,,196.0,173.0,173.0,Conventional Steam Coal,BIT,ST,6,1959,8,2020,Montgomery,39.209700,-77.464400,Map,Map,PJM
13756,Northern Indiana Pub Serv Co,995,Bailly,Electric Utility,IN,10,,37.5,31.0,31.0,Natural Gas Fired Combustion Turbine,NG,GT,11,1968,7,2020,Porter,41.645000,-87.122500,Map,Map,MISO
